Species,ObjectID,GlobalID,Species,Other Species,Comments,Approximate Area of Population,Approximate Number of Individual Plants Present and Accessible,Evidence of Disturbance/Damage,If Other Factor Please Specify,Notes,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit:,Estimated Number of Fruits per Individual Plant,Viability Calculation Result,Are There at Least 50 Plants with Mature Seed in This Population?,Seeds_Collected,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Associated Species
FEID,254,9f7898c9-2952-4bfc-8341-e5f38d4afcb6,FEID,,,,2500,No_Damage,,,20,5,70,5,0,Immature,,,,,no,no,"Intermixed with FESA, but still good collection site",029fde51-697f-4fa2-9993-372880bac5fd,10/23/2023 23:04,ac15_CSUesri,10/23/2023 23:04,ac15_CSUesri,
FEID,255,b47ae3fc-c4e9-4abd-8b35-90f6b1aeb926,FEID,,,,10000,No_Damage,,,20,5,70,5,0,Immature,,,,,no,no,South-facing slope,3d1e5446-cc71-4674-9e68-adb6b8d8669e,10/23/2023 23:12,ac15_CSUesri,10/23/2023 23:12,ac15_CSUesri,
POSE,256,2910d2ae-1ed7-4db3-9f43-2f4e64c5d7f7,POSE,,,,2500,Insect_damage,,,20,10,70,0,0,Immature,,,,,no,no,,3d1e5446-cc71-4674-9e68-adb6b8d8669e,10/23/2023 23:12,ac15_CSUesri,10/23/2023 23:12,ac15_CSUesri,
FEID,257,35661ef1-39c5-482f-918e-4b7ae5eed851,FEID,,,,10000,No_Damage,,,20,5,70,5,0,Immature,,,,,no,no,Likely ELTR7 & ELGL at campground. ,c410b659-f34d-476f-8ac7-dd6e52bb63d6,10/23/2023 23:17,ac15_CSUesri,10/23/2023 23:17,ac15_CSUesri,
POSE,258,23485848-97eb-4804-b91c-7e4bb97bf407,POSE,,,,2500,Insect_damage,,,20,10,70,0,0,Immature,,,,,no,no,,c410b659-f34d-476f-8ac7-dd6e52bb63d6,10/23/2023 23:17,ac15_CSUesri,10/23/2023 23:17,ac15_CSUesri,
PASM,259,7b41c2d5-00e0-4f38-b4a4-e9565026cecc,PASM,,,,350,No_Damage,,,10,10,75,5,0,Immature,,,,,no,no,,dd620949-e444-47c4-acba-ce13fdd9d30d,10/23/2023 23:28,ac15_CSUesri,10/23/2023 23:28,ac15_CSUesri,
PEVI3,260,d47adf8a-ee04-4483-b820-0b228f1967d7,Other,Penstemon virens,,4,5000,No_Damage,,,5,0,15,80,0,Healthy,,9,20,180000,yes,yes,,75fcbe74-b519-42ee-a983-2ff797983108,10/24/2023 20:53,cnhp_guest4,10/24/2023 20:53,cnhp_guest4,
PEVI3,261,61ee8d7b-898f-41b3-a554-f86943e819f5,Other,Penstemon virens,,4,5000,No_Damage,,,5,0,15,80,0,Healthy,,9,20,180000,yes,yes,,230caa2e-2805-47ab-ae97-54a09df7d9a8,10/24/2023 20:56,cnhp_guest4,10/24/2023 20:56,cnhp_guest4,
THRH,262,c2866a3c-2c98-4c1f-b697-e2494b4d866c,Other,THRH,,0.02,3000,No_Damage,,,5,0,40,55,0,Healthy,,4,5,12000,yes,yes,,f0546921-e891-4bf4-808d-09da2d585cdb,10/24/2023 21:46,cnhp_guest4,10/24/2023 21:46,cnhp_guest4,
FEID,263,dccaf2a2-8b11-4029-bd21-f010274821c7,FEID,,,,500,No_Damage,,,15,5,75,5,0,Immature,,,,,no,no,Possible FEMO2 not FEID,ef1cdc2d-0804-4c38-a4cb-c9a42a97a5a8,10/24/2023 22:56,ac15_CSUesri,10/24/2023 22:56,ac15_CSUesri,
POSE,264,65c4caa5-d335-47f5-8b53-7907be1e01fd,POSE,,,,200,No_Damage,,,15,5,75,5,0,Immature,,,,,no,no,,d54f1c58-c164-4fb6-8138-7c0fdd116d45,10/24/2023 23:03,ac15_CSUesri,10/24/2023 23:03,ac15_CSUesri,
Other,265,52633bcc-d74f-4755-b075-f89a3d105425,Other,PEN spp.,,,500,No_Damage,,,20,60,20,0,0,Immature,,,,,no,no,,d54f1c58-c164-4fb6-8138-7c0fdd116d45,10/24/2023 23:03,ac15_CSUesri,10/24/2023 23:03,ac15_CSUesri,
PASM,266,dcb67766-dc75-4046-8599-21f46ba3fb47,PASM,,,,1000,No_Damage,,,5,25,65,5,0,Immature,,,,,no,no,,9df17fec-8329-4dde-9859-5e146702ba74,10/25/2023 16:14,ac15_CSUesri,10/25/2023 16:14,ac15_CSUesri,
FEID,267,91656ed5-ce04-45c6-a88c-09bbd9c42340,FEID,,,,2500,No_Damage,,,10,5,80,5,0,Immature,,,,,no,no,Population needs further ID. Potentially Festuca saximontana,9df17fec-8329-4dde-9859-5e146702ba74,10/25/2023 16:14,ac15_CSUesri,10/25/2023 16:14,ac15_CSUesri,
BOGR2,268,3ee420c8-bbf1-4de2-9d34-75b25443c922,BOGR2,,,,4000,No_Damage,,,20,20,60,0,0,Immature,,,,,no,no,,70bf5188-2509-4a3e-9198-1a4f6bf23a42,10/25/2023 16:33,ac15_CSUesri,10/25/2023 16:33,ac15_CSUesri,
HEVI4,269,8d59732c-15f2-487c-8cac-942b87fbf98f,HEVI4,,,0.5,200,No_Damage,,,20,60,20,0,0,Immature,,,,,no,no,,eafb7eff-000e-40e7-95d0-6e139a67dc9d,10/25/2023 16:52,ac15_CSUesri,10/25/2023 16:52,ac15_CSUesri,
DAPU,270,8f1e9a63-b4d5-45cc-b4df-1e8d775e2031,DAPU,,,0.5,200,No_Damage,,,50,40,10,0,0,Immature,,,,,no,no,,eafb7eff-000e-40e7-95d0-6e139a67dc9d,10/25/2023 16:52,ac15_CSUesri,10/25/2023 16:52,ac15_CSUesri,
RACO3,271,917f8ba8-7ef2-4692-8fdf-c6b54d49499a,RACO3,,,0.5,100,No_Damage,,,50,40,10,0,0,Immature,,,,,no,no,,eafb7eff-000e-40e7-95d0-6e139a67dc9d,10/25/2023 16:52,ac15_CSUesri,10/25/2023 16:52,ac15_CSUesri,
SPCR,272,aacaf67d-1bb5-4642-9686-590ace5c7469,SPCR,,,0.5,300,No_Damage,,,50,20,30,0,0,Immature,,,,,no,no,,eafb7eff-000e-40e7-95d0-6e139a67dc9d,10/25/2023 16:52,ac15_CSUesri,10/25/2023 16:52,ac15_CSUesri,
BOGR2,273,bae26866-2150-4a1d-a529-f348d563d69e,BOGR2,,,,500,No_Damage,,,10,30,60,0,0,Immature,,,,,no,no,,fd580036-fe43-488c-963f-9925d40cdd49,10/25/2023 17:59,ac15_CSUesri,10/25/2023 17:59,ac15_CSUesri,
SPCR,274,2ecef83d-4607-43cc-a6c4-7e2d2f3ef7b8,SPCR,,,,100,No_Damage,,,50,30,20,0,0,Immature,,,,,no,no,,fd580036-fe43-488c-963f-9925d40cdd49,10/25/2023 17:59,ac15_CSUesri,10/25/2023 17:59,ac15_CSUesri,
KOMA,275,c9981d3d-950b-4613-be38-56cd5701efba,KOMA,,,,150,No_Damage,,,10,80,10,0,0,Immature,,,,,no,no,,fd580036-fe43-488c-963f-9925d40cdd49,10/25/2023 17:59,ac15_CSUesri,10/25/2023 17:59,ac15_CSUesri,
HEVI4,276,71dd6b7e-a0cf-494b-99f8-69fba9b4bd7f,HEVI4,,,,150,No_Damage,,,50,30,20,0,0,Immature,,,,,no,no,,fd580036-fe43-488c-963f-9925d40cdd49,10/25/2023 17:59,ac15_CSUesri,10/25/2023 17:59,ac15_CSUesri,
DAPU,277,5a29349c-643e-4706-a78f-0fb9348e0995,DAPU,,,,300,No_Damage,,,80,15,5,0,0,Immature,,,,,no,no,"Possible D. candida population, double-check ID",fd580036-fe43-488c-963f-9925d40cdd49,10/25/2023 17:59,ac15_CSUesri,10/25/2023 17:59,ac15_CSUesri,
ANGE,278,01783a6e-bd42-4fab-a6ad-21c8dae00333,ANGE,,,,100,No_Damage,,,60,40,0,0,0,Immature,,,,,no,no,"Andropogon spp., Check ID",fd580036-fe43-488c-963f-9925d40cdd49,10/25/2023 17:59,ac15_CSUesri,10/25/2023 17:59,ac15_CSUesri,
NAVI4,283,ee30b044-456c-481a-9255-5f2ccc00893e,NAVI4,,,5,5000,No_Damage,,,5,0,65,25,5,Healthy,,,,,yes,yes,Collection orginally lumped with USFSR2-03 (polygon and datasheet). Technially collection #4.,2e16c2dd-cfd4-4f31-8708-edace469c85f,40:21.0,ac15_CSUesri,40:21.0,ac15_CSUesri,
